name,team,position,total_points,xP,delta,points_per_90,minutes
Eddie Nketiah,Arsenal,FWD,8,2.4,5.6,10.0,72
Kieffer Moore,Bournemouth,FWD,1,1.4,-0.3999999999999999,3.91,23
Fábio Silva,Wolves,FWD,1,1.4,-0.3999999999999999,6.92,13
William Osula,Sheffield Utd,FWD,1,0.5,0.5,1.0,90
Ollie Watkins,Aston Villa,FWD,5,2.1,2.9,5.0,90
Danny Ings,West Ham,FWD,1,2.1,-1.1,7.5,12
Elijah Adebayo,Luton,FWD,2,0.9,1.1,2.86,63
João Pedro Junqueira de Jesus,Brighton,FWD,7,2.4,4.6,7.24,87
Neal Maupay,Everton,FWD,2,1.4,0.6000000000000001,2.54,71
Yoane Wissa,Brentford,FWD,9,2.1,6.9,11.41,71
Aleksandar Mitrović,Fulham,FWD,1,2.4,-1.4,2.81,32
Chiedozie Ogbene,Luton,FWD,1,0.9,0.09999999999999998,6.43,14
Michail Antonio,West Ham,FWD,1,2.1,-1.1,1.17,77
Evan Ferguson,Brighton,FWD,5,2.6,2.4,37.5,12
Cody Gakpo,Liverpool,FWD,2,2.9,-0.8999999999999999,2.77,65
Nicolas Jackson,Chelsea,FWD,1,1.8,-0.8,1.0,90
Taiwo Awoniyi,Nott'm Forest,FWD,7,0.4,6.6,33.16,19
Callum Wilson,Newcastle,FWD,5,3.1,1.9,20.45,22
Zeki Amdouni,Burnley,FWD,2,0.4,1.6,3.0,60
Julián Álvarez,Man City,FWD,5,3.7,1.2999999999999998,5.0,90
Alexander Isak,Newcastle,FWD,13,3.0,10.0,17.46,67
Antwoine Hackford,Sheffield Utd,FWD,1,0.5,0.5,30.0,3
Erling Haaland,Man City,FWD,13,5.5,7.5,14.81,79
Danny Welbeck,Brighton,FWD,2,2.6,-0.6000000000000001,2.34,77
Raúl Jiménez,Fulham,FWD,1,1.9,-0.8999999999999999,1.58,57
Matheus Santos Carneiro Da Cunha,Wolves,FWD,2,1.0,1.0,2.37,76
Carlton Morris,Luton,FWD,8,1.4,6.6,8.0,90
Cauley Woodrow,Luton,FWD,1,0.5,0.5,45.0,2
Antoine Semenyo,Bournemouth,FWD,4,0.8,3.2,24.0,15
Darwin Núñez Ribeiro,Liverpool,FWD,1,2.9,-1.9,3.75,24
Bénie Traoré,Sheffield Utd,FWD,2,1.4,0.6000000000000001,2.09,86
Odsonne Edouard,Crystal Palace,FWD,7,2.4,4.6,7.0,90
Lyle Foster,Burnley,FWD,2,-0.1,2.1,2.0,90
Sasa Kalajdzic,Wolves,FWD,1,0.9,0.09999999999999998,45.0,2
Dominic Solanke,Bournemouth,FWD,7,2.2,4.8,7.0,90
Chris Wood,Nott'm Forest,FWD,1,0.9,0.09999999999999998,90.0,1
Jacob Brown,Luton,FWD,4,0.9,3.1,13.85,26
