Name,Points per 90
Gabriel Martinelli Silva,6.39
Leandro Trossard,6.20
Rodrigo Moreno,5.93
Miguel Almirón Rejala,5.72
Eberechi Eze,5.44
Kaoru Mitoma,5.37
Solly March,4.87
Marcus Tavernier,4.86
Daniel Castelo Podence,4.70
Granit Xhaka,4.60
Leon Bailey,4.58
Douglas Luiz Soares de Paulo,4.37
Joe Willock,4.33
Andreas Hoelgebaum Pereira,4.11
Benjamin White,4.60
Emerson Leite de Souza Junior,4.48
David Raya Martin,4.37
Kepa Arrizabalaga,4.14
Danny Ward,3.50
Callum Wilson,7.56
Total Points per 90,100.12
